Nation,Year,population_urban
argentina,2006,35439468
bahamas,2006,272306
belize,2006,131964
bolivia,2006,6072090
brazil,2006,156447982
barbados,2006,90584
chile,2006,14202580
colombia,2006,33015424
costa_rica,2006,2908607
dominican_republic,2006,6334155
ecuador,2006,8703739
guatemala,2006,6238013
guyana,2006,205854
honduras,2006,3759508
haiti,2006,4074699
jamaica,2006,1459784
mexico,2006,82408288
nicaragua,2006,3094982
panama,2006,2169856
peru,2006,21194850
paraguay,2006,3427297
el_salvador,2006,3780593
suriname,2006,336600
trinidad_and_tobago,2006,713524
uruguay,2006,3111014
argentina,2007,35861117
bahamas,2007,277676
belize,2007,135398
bolivia,2007,6220822
brazil,2007,158660053
barbados,2007,90441
chile,2007,14364744
colombia,2007,33597407
costa_rica,2007,3002809
dominican_republic,2007,6539066
ecuador,2007,8878731
guatemala,2007,6402661
guyana,2007,204109
honduras,2007,3896841
haiti,2007,4232451
jamaica,2007,1472254
mexico,2007,83973950
nicaragua,2007,3148772
panama,2007,2219605
peru,2007,21477301
paraguay,2007,3496244
el_salvador,2007,3832861
suriname,2007,340175
trinidad_and_tobago,2007,714282
uruguay,2007,3124484
argentina,2008,36284567
bahamas,2008,282996
belize,2008,138873
bolivia,2008,6370956
brazil,2008,160823507
barbados,2008,90299
chile,2008,14529331
colombia,2008,34166608
costa_rica,2008,3096961
dominican_republic,2008,6743610
ecuador,2008,9055766
guatemala,2008,6568346
guyana,2008,202424
honduras,2008,4035649
haiti,2008,4394109
jamaica,2008,1484711
mexico,2008,85573769
nicaragua,2008,3203518
panama,2008,2270061
peru,2008,21722216
paraguay,2008,3564369
el_salvador,2008,3904586
suriname,2008,343777
trinidad_and_tobago,2008,715086
uruguay,2008,3139740
argentina,2009,36714243
bahamas,2009,288017
belize,2009,142365
bolivia,2009,6522379
brazil,2009,162949974
barbados,2009,90131
chile,2009,14693850
colombia,2009,34720224
costa_rica,2009,3190511
dominican_republic,2009,6947155
ecuador,2009,9233268
guatemala,2009,6734651
guyana,2009,200904
honduras,2009,4175237
haiti,2009,4558834
jamaica,2009,1497367
mexico,2009,87182004
nicaragua,2009,3258926
panama,2009,2321156
peru,2009,21951814
paraguay,2009,3632858
el_salvador,2009,3976012
suriname,2009,347409
trinidad_and_tobago,2009,716110
uruguay,2009,3155696
argentina,2010,37055901
bahamas,2010,292563
belize,2010,145844
bolivia,2010,6675282
brazil,2010,165055095
barbados,2010,89915
chile,2010,14857028
colombia,2010,35257425
costa_rica,2010,3283622
dominican_republic,2010,7150439
ecuador,2010,9410467
guatemala,2010,6902116
guyana,2010,199603
honduras,2010,4315517
haiti,2010,4726821
jamaica,2010,1510427
mexico,2010,88781437
nicaragua,2010,3314879
panama,2010,2372848
peru,2010,22185855
paraguay,2010,3702637
el_salvador,2010,4047471
suriname,2010,351043
trinidad_and_tobago,2010,717529
uruguay,2010,3171624
argentina,2011,37543829
bahamas,2011,296569
belize,2011,149359
bolivia,2011,6829808
brazil,2011,167158531
barbados,2011,89706
chile,2011,15015966
colombia,2011,35769912
costa_rica,2011,3376037
dominican_republic,2011,7342937
ecuador,2011,9580934
guatemala,2011,7072123
guyana,2011,198535
honduras,2011,4455998
haiti,2011,4897847
jamaica,2011,1524025
mexico,2011,90370887
nicaragua,2011,3371400
panama,2011,2425408
peru,2011,22421439
paraguay,2011,3774039
el_salvador,2011,4119158
suriname,2011,354693
trinidad_and_tobago,2011,719345
uruguay,2011,3187408
argentina,2012,38027773
bahamas,2012,300070
belize,2012,152931
bolivia,2012,6985733
brazil,2012,169240746
barbados,2012,89515
chile,2012,15171199
colombia,2012,36262053
costa_rica,2012,3466590
dominican_republic,2012,7527832
ecuador,2012,9746825
guatemala,2012,7243151
guyana,2012,199422
honduras,2012,4597020
haiti,2012,5071848
jamaica,2012,1538500
mexico,2012,91948802
nicaragua,2012,3428528
panama,2012,2478853
peru,2012,22662394
paraguay,2012,3846933
el_salvador,2012,4191072
suriname,2012,358348
trinidad_and_tobago,2012,721775
uruguay,2012,3201207
argentina,2013,38509756
bahamas,2013,303261
belize,2013,156543
bolivia,2013,7137082
brazil,2013,171300683
barbados,2013,89350
chile,2013,15330440
colombia,2013,36759800
costa_rica,2013,3555160
dominican_republic,2013,7711912
ecuador,2013,9915342
guatemala,2013,7418337
guyana,2013,200450
honduras,2013,4738709
haiti,2013,5248179
jamaica,2013,1553708
mexico,2013,93515785
nicaragua,2013,3486218
panama,2013,2533389
peru,2013,22922694
paraguay,2013,3918989
el_salvador,2013,4263187
suriname,2013,361980
trinidad_and_tobago,2013,724639
uruguay,2013,3214642
argentina,2014,38990109
bahamas,2014,306388
belize,2014,160198
bolivia,2014,7285463
brazil,2014,173346780
barbados,2014,89229
chile,2014,15504112
colombia,2014,37299403
costa_rica,2014,3641667
dominican_republic,2014,7895296
ecuador,2014,10091288
guatemala,2014,7597136
guyana,2014,201636
honduras,2014,4882044
haiti,2014,5426831
jamaica,2014,1569364
mexico,2014,95072133
nicaragua,2014,3544357
panama,2014,2589339
peru,2014,23221642
paraguay,2014,3990996
el_salvador,2014,4335703
suriname,2014,365655
trinidad_and_tobago,2014,727665
uruguay,2014,3228546
