Year,Nation,prodinit_ippu_metals_tonne
1990,argentina,48725.103109308
1991,argentina,48725.103109308
1992,argentina,48725.103109308
1993,argentina,48725.103109308
1994,argentina,48725.103109308
1995,argentina,48725.103109308
1996,argentina,48725.103109308
1997,argentina,48725.103109308
1998,argentina,48725.103109308
1999,argentina,48725.103109308
2000,argentina,48725.103109308
2001,argentina,48725.103109308
2002,argentina,48725.103109308
2003,argentina,48725.103109308
2004,argentina,48725.103109308
2005,argentina,48725.103109308
2006,argentina,48725.103109308
2007,argentina,48725.103109308
2008,argentina,48725.103109308
2009,argentina,48725.103109308
2010,argentina,48725.103109308
2011,argentina,48725.103109308
2012,argentina,48725.103109308
2013,argentina,48725.103109308
2014,argentina,48725.103109308
2015,argentina,48725.103109308
2016,argentina,48725.103109308
2017,argentina,48725.103109308
2018,argentina,48725.103109308
2019,argentina,48725.103109308
1990,bahamas,22706.957627642
1991,bahamas,22706.957627642
1992,bahamas,22706.957627642
1993,bahamas,22706.957627642
1994,bahamas,22706.957627642
1995,bahamas,22706.957627642
1996,bahamas,22706.957627642
1997,bahamas,22706.957627642
1998,bahamas,22706.957627642
1999,bahamas,22706.957627642
2000,bahamas,22706.957627642
2001,bahamas,22706.957627642
2002,bahamas,22706.957627642
2003,bahamas,22706.957627642
2004,bahamas,22706.957627642
2005,bahamas,22706.957627642
2006,bahamas,22706.957627642
2007,bahamas,22706.957627642
2008,bahamas,22706.957627642
2009,bahamas,22706.957627642
2010,bahamas,22706.957627642
2011,bahamas,22706.957627642
2012,bahamas,22706.957627642
2013,bahamas,22706.957627642
2014,bahamas,22706.957627642
2015,bahamas,22706.957627642
2016,bahamas,22706.957627642
2017,bahamas,22706.957627642
2018,bahamas,22706.957627642
2019,bahamas,22706.957627642
1990,barbados,22706.957627642
1991,barbados,22706.957627642
1992,barbados,22706.957627642
1993,barbados,22706.957627642
1994,barbados,22706.957627642
1995,barbados,22706.957627642
1996,barbados,22706.957627642
1997,barbados,22706.957627642
1998,barbados,22706.957627642
1999,barbados,22706.957627642
2000,barbados,22706.957627642
2001,barbados,22706.957627642
2002,barbados,22706.957627642
2003,barbados,22706.957627642
2004,barbados,22706.957627642
2005,barbados,22706.957627642
2006,barbados,22706.957627642
2007,barbados,22706.957627642
2008,barbados,22706.957627642
2009,barbados,22706.957627642
2010,barbados,22706.957627642
2011,barbados,22706.957627642
2012,barbados,22706.957627642
2013,barbados,22706.957627642
2014,barbados,22706.957627642
2015,barbados,22706.957627642
2016,barbados,22706.957627642
2017,barbados,22706.957627642
2018,barbados,22706.957627642
2019,barbados,22706.957627642
1990,belize,22706.957627642
1991,belize,22706.957627642
1992,belize,22706.957627642
1993,belize,22706.957627642
1994,belize,22706.957627642
1995,belize,22706.957627642
1996,belize,22706.957627642
1997,belize,22706.957627642
1998,belize,22706.957627642
1999,belize,22706.957627642
2000,belize,22706.957627642
2001,belize,22706.957627642
2002,belize,22706.957627642
2003,belize,22706.957627642
2004,belize,22706.957627642
2005,belize,22706.957627642
2006,belize,22706.957627642
2007,belize,22706.957627642
2008,belize,22706.957627642
2009,belize,22706.957627642
2010,belize,22706.957627642
2011,belize,22706.957627642
2012,belize,22706.957627642
2013,belize,22706.957627642
2014,belize,22706.957627642
2015,belize,22706.957627642
2016,belize,22706.957627642
2017,belize,22706.957627642
2018,belize,22706.957627642
2019,belize,22706.957627642
1990,bolivia,438.59722394152
1991,bolivia,438.59722394152
1992,bolivia,438.59722394152
1993,bolivia,438.59722394152
1994,bolivia,438.59722394152
1995,bolivia,438.59722394152
1996,bolivia,438.59722394152
1997,bolivia,438.59722394152
1998,bolivia,438.59722394152
1999,bolivia,438.59722394152
2000,bolivia,438.59722394152
2001,bolivia,438.59722394152
2002,bolivia,438.59722394152
2003,bolivia,438.59722394152
2004,bolivia,438.59722394152
2005,bolivia,438.59722394152
2006,bolivia,438.59722394152
2007,bolivia,438.59722394152
2008,bolivia,438.59722394152
2009,bolivia,438.59722394152
2010,bolivia,438.59722394152
2011,bolivia,438.59722394152
2012,bolivia,438.59722394152
2013,bolivia,438.59722394152
2014,bolivia,438.59722394152
2015,bolivia,438.59722394152
2016,bolivia,438.59722394152
2017,bolivia,438.59722394152
2018,bolivia,438.59722394152
2019,bolivia,438.59722394152
1990,brazil,198018.910578451
1991,brazil,198018.910578451
1992,brazil,198018.910578451
1993,brazil,198018.910578451
1994,brazil,198018.910578451
1995,brazil,198018.910578451
1996,brazil,198018.910578451
1997,brazil,198018.910578451
1998,brazil,198018.910578451
1999,brazil,198018.910578451
2000,brazil,198018.910578451
2001,brazil,198018.910578451
2002,brazil,198018.910578451
2003,brazil,198018.910578451
2004,brazil,198018.910578451
2005,brazil,198018.910578451
2006,brazil,198018.910578451
2007,brazil,198018.910578451
2008,brazil,198018.910578451
2009,brazil,198018.910578451
2010,brazil,198018.910578451
2011,brazil,198018.910578451
2012,brazil,198018.910578451
2013,brazil,198018.910578451
2014,brazil,198018.910578451
2015,brazil,198018.910578451
2016,brazil,198018.910578451
2017,brazil,198018.910578451
2018,brazil,198018.910578451
2019,brazil,198018.910578451
1990,chile,7741.68710803583
1991,chile,7741.68710803583
1992,chile,7741.68710803583
1993,chile,7741.68710803583
1994,chile,7741.68710803583
1995,chile,7741.68710803583
1996,chile,7741.68710803583
1997,chile,7741.68710803583
1998,chile,7741.68710803583
1999,chile,7741.68710803583
2000,chile,7741.68710803583
2001,chile,7741.68710803583
2002,chile,7741.68710803583
2003,chile,7741.68710803583
2004,chile,7741.68710803583
2005,chile,7741.68710803583
2006,chile,7741.68710803583
2007,chile,7741.68710803583
2008,chile,7741.68710803583
2009,chile,7741.68710803583
2010,chile,7741.68710803583
2011,chile,7741.68710803583
2012,chile,7741.68710803583
2013,chile,7741.68710803583
2014,chile,7741.68710803583
2015,chile,7741.68710803583
2016,chile,7741.68710803583
2017,chile,7741.68710803583
2018,chile,7741.68710803583
2019,chile,7741.68710803583
1990,colombia,13669.4833590637
1991,colombia,13669.4833590637
1992,colombia,13669.4833590637
1993,colombia,13669.4833590637
1994,colombia,13669.4833590637
1995,colombia,13669.4833590637
1996,colombia,13669.4833590637
1997,colombia,13669.4833590637
1998,colombia,13669.4833590637
1999,colombia,13669.4833590637
2000,colombia,13669.4833590637
2001,colombia,13669.4833590637
2002,colombia,13669.4833590637
2003,colombia,13669.4833590637
2004,colombia,13669.4833590637
2005,colombia,13669.4833590637
2006,colombia,13669.4833590637
2007,colombia,13669.4833590637
2008,colombia,13669.4833590637
2009,colombia,13669.4833590637
2010,colombia,13669.4833590637
2011,colombia,13669.4833590637
2012,colombia,13669.4833590637
2013,colombia,13669.4833590637
2014,colombia,13669.4833590637
2015,colombia,13669.4833590637
2016,colombia,13669.4833590637
2017,colombia,13669.4833590637
2018,colombia,13669.4833590637
2019,colombia,13669.4833590637
1990,costa_rica,1308.60024337487
1991,costa_rica,1308.60024337487
1992,costa_rica,1308.60024337487
1993,costa_rica,1308.60024337487
1994,costa_rica,1308.60024337487
1995,costa_rica,1308.60024337487
1996,costa_rica,1308.60024337487
1997,costa_rica,1308.60024337487
1998,costa_rica,1308.60024337487
1999,costa_rica,1308.60024337487
2000,costa_rica,1308.60024337487
2001,costa_rica,1308.60024337487
2002,costa_rica,1308.60024337487
2003,costa_rica,1308.60024337487
2004,costa_rica,1308.60024337487
2005,costa_rica,1308.60024337487
2006,costa_rica,1308.60024337487
2007,costa_rica,1308.60024337487
2008,costa_rica,1308.60024337487
2009,costa_rica,1308.60024337487
2010,costa_rica,1308.60024337487
2011,costa_rica,1308.60024337487
2012,costa_rica,1308.60024337487
2013,costa_rica,1308.60024337487
2014,costa_rica,1308.60024337487
2015,costa_rica,1308.60024337487
2016,costa_rica,1308.60024337487
2017,costa_rica,1308.60024337487
2018,costa_rica,1308.60024337487
2019,costa_rica,1308.60024337487
1990,dominican_republic,2212.42175435577
1991,dominican_republic,2212.42175435577
1992,dominican_republic,2212.42175435577
1993,dominican_republic,2212.42175435577
1994,dominican_republic,2212.42175435577
1995,dominican_republic,2212.42175435577
1996,dominican_republic,2212.42175435577
1997,dominican_republic,2212.42175435577
1998,dominican_republic,2212.42175435577
1999,dominican_republic,2212.42175435577
2000,dominican_republic,2212.42175435577
2001,dominican_republic,2212.42175435577
2002,dominican_republic,2212.42175435577
2003,dominican_republic,2212.42175435577
2004,dominican_republic,2212.42175435577
2005,dominican_republic,2212.42175435577
2006,dominican_republic,2212.42175435577
2007,dominican_republic,2212.42175435577
2008,dominican_republic,2212.42175435577
2009,dominican_republic,2212.42175435577
2010,dominican_republic,2212.42175435577
2011,dominican_republic,2212.42175435577
2012,dominican_republic,2212.42175435577
2013,dominican_republic,2212.42175435577
2014,dominican_republic,2212.42175435577
2015,dominican_republic,2212.42175435577
2016,dominican_republic,2212.42175435577
2017,dominican_republic,2212.42175435577
2018,dominican_republic,2212.42175435577
2019,dominican_republic,2212.42175435577
1990,ecuador,3571.35978383261
1991,ecuador,3571.35978383261
1992,ecuador,3571.35978383261
1993,ecuador,3571.35978383261
1994,ecuador,3571.35978383261
1995,ecuador,3571.35978383261
1996,ecuador,3571.35978383261
1997,ecuador,3571.35978383261
1998,ecuador,3571.35978383261
1999,ecuador,3571.35978383261
2000,ecuador,3571.35978383261
2001,ecuador,3571.35978383261
2002,ecuador,3571.35978383261
2003,ecuador,3571.35978383261
2004,ecuador,3571.35978383261
2005,ecuador,3571.35978383261
2006,ecuador,3571.35978383261
2007,ecuador,3571.35978383261
2008,ecuador,3571.35978383261
2009,ecuador,3571.35978383261
2010,ecuador,3571.35978383261
2011,ecuador,3571.35978383261
2012,ecuador,3571.35978383261
2013,ecuador,3571.35978383261
2014,ecuador,3571.35978383261
2015,ecuador,3571.35978383261
