year,country,value
2011,barbados,55.2504
2012,barbados,58.1465
2013,barbados,59.0296
2014,barbados,55.6502
2015,barbados,55.0347
2016,barbados,56.0371
2017,barbados,57.2162
2018,barbados,54.498
2019,barbados,55.6073
2011,costa_rica,3263.9305
2012,costa_rica,3379.8338
2013,costa_rica,3301.4543
2014,costa_rica,3435.1891
2015,costa_rica,3331.3159
2016,costa_rica,3050.0406
2017,costa_rica,3104.3765
2018,costa_rica,3015.4547
2019,costa_rica,2970.7908
2011,paraguay,97380.3995
2012,paraguay,98572.2011
2013,paraguay,99830.8703
2014,paraguay,101236.6075
2015,paraguay,100645.177
2016,paraguay,78232.6659
2017,paraguay,80033.1384
2018,paraguay,77539.1563
2019,paraguay,79629.5295
2011,peru,115804.6592
2012,peru,116076.0562
2013,peru,115969.0765
2014,peru,115749.4483
2015,peru,116053.6748
2016,peru,117253.9467
2017,peru,117483.3923
2018,peru,117368.9364
2019,peru,117638.2229
2011,guyana,18785.3256
2012,guyana,18848.3138
2013,guyana,19031.4653
2014,guyana,19156.8467
2015,guyana,19278.0591
2016,guyana,16253.4863
2017,guyana,16335.4522
2018,guyana,16406.3554
2019,guyana,16707.3714
2011,chile,68602.6477
2012,chile,68592.7591
2013,chile,70358.2225
2014,chile,70551.2157
2015,chile,70296.3134
2016,chile,47446.8048
2017,chile,46278.1412
2018,chile,47214.9036
2019,chile,46871.3428
2011,brazil,777287.8276
2012,brazil,781952.518
2013,brazil,772142.7398
2014,brazil,783995.4252
2015,brazil,791465.459
2016,brazil,917972.1665
2017,brazil,924936.8012
2018,brazil,905561.6676
2019,brazil,920076.4795
2011,panama,8440.7632
2012,panama,8502.6157
2013,panama,8520.6833
2014,panama,8271.7004
2015,panama,8139.2001
2016,panama,8123.7863
2017,panama,8038.088
2018,panama,8107.6627
2019,panama,8031.7539
2011,nicaragua,20842.0957
2012,nicaragua,21228.1043
2013,nicaragua,21687.6835
2014,nicaragua,22286.6944
2015,nicaragua,22650.3128
2016,nicaragua,31234.689
2017,nicaragua,30785.8764
2018,nicaragua,31203.1124
2019,nicaragua,31568.4656
2011,haiti,5210.1894
2012,haiti,5200.2022
2013,haiti,5221.7973
2014,haiti,5239.6217
2015,haiti,5281.5821
2016,haiti,5409.8531
2017,haiti,5412.843
2018,haiti,5398.3339
2019,haiti,5411.2388
2011,honduras,13277.7221
2012,honduras,12717.7774
2013,honduras,13205.4278
2014,honduras,13280.5538
2015,honduras,13031.8109
2016,honduras,13034.4594
2017,honduras,12857.4045
2018,honduras,13151.9682
2019,honduras,13149.8414
2011,uruguay,21924.9389
2012,uruguay,21654.8074
2013,uruguay,21743.82
2014,uruguay,22030.4426
2015,uruguay,21646.8229
2016,uruguay,27105.7342
2017,uruguay,26640.4491
2018,uruguay,25983.9545
2019,uruguay,25804.702
2011,argentina,187516.4148
2012,argentina,189927.051
2013,argentina,193494.5673
2014,argentina,193819.5805
2015,argentina,193395.5538
2016,argentina,161515.2437
2017,argentina,168429.9476
2018,argentina,165851.1341
2019,argentina,165642.9703
2011,jamaica,871.8907
2012,jamaica,905.9379
2013,jamaica,894.4302
2014,jamaica,888.6311
2015,jamaica,862.2176
2016,jamaica,776.3279
2017,jamaica,764.5796
2018,jamaica,753.3804
2019,jamaica,743.0579
2011,colombia,121803.6981
2012,colombia,118312.4155
2013,colombia,116325.632
2014,colombia,116701.1813
2015,colombia,116048.2829
2016,colombia,143288.2833
2017,colombia,145665.8772
2018,colombia,150459.5415
2019,colombia,151730.6489
2011,guatemala,17096.1474
2012,guatemala,17244.462
2013,guatemala,17497.3528
2014,guatemala,17489.9186
2015,guatemala,17942.1496
2016,guatemala,13721.7093
2017,guatemala,13851.5302
2018,guatemala,13827.0178
2019,guatemala,14138.128
2011,ecuador,33042.9699
2012,ecuador,32898.6916
2013,ecuador,32827.3471
2014,ecuador,31513.3106
2015,ecuador,30332.2775
2016,ecuador,39461.9624
2017,ecuador,39497.4248
2018,ecuador,39008.358
2019,ecuador,39285.6332
2011,suriname,9022.9175
2012,suriname,8993.0547
2013,suriname,8979.2374
2014,suriname,9045.7433
2015,suriname,9029.0293
2016,suriname,10145.5812
2017,suriname,10140.1109
2018,suriname,10061.8535
2019,suriname,10163.7899
2011,mexico,110659.1014
2012,mexico,108747.1972
2013,mexico,112752.8696
2014,mexico,107101.7909
2015,mexico,109046.0437
2016,mexico,114190.6596
2017,mexico,116249.3917
2018,mexico,115327.6158
2019,mexico,118602.4407
2011,el_salvador,4056.5559
2012,el_salvador,4200.1022
2013,el_salvador,3720.9755
2014,el_salvador,3877.7776
2015,el_salvador,3891.7452
2016,el_salvador,3662.816
2017,el_salvador,3648.5629
2018,el_salvador,3514.1625
2019,el_salvador,3487.4672
2011,bahamas,90.0252
2012,bahamas,36.7432
2013,bahamas,97.9669
2014,bahamas,40.1152
2015,bahamas,47.5909
2016,bahamas,68.5286
2017,bahamas,112.2358
2018,bahamas,31.6423
2019,bahamas,40.0965
2011,dominican_republic,7911.4424
2012,dominican_republic,7806.3695
2013,dominican_republic,7860.4305
2014,dominican_republic,7923.616
2015,dominican_republic,8029.2258
2016,dominican_republic,7739.4936
2017,dominican_republic,7905.5747
2018,dominican_republic,8173.5582
2019,dominican_republic,8246.432
2011,belize,6125.2278
2012,belize,5792.8369
2013,belize,5982.0457
2014,belize,5847.7467
2015,belize,5892.3652
2016,belize,5659.0949
