Year,Nation,prodinit_ippu_textiles_tonne
1990,argentina,24872.325788556598
1991,argentina,24872.325788556598
1992,argentina,24872.325788556598
1993,argentina,24872.325788556598
1994,argentina,24872.325788556598
1995,argentina,24872.325788556598
1996,argentina,24872.325788556598
1997,argentina,24872.325788556598
1998,argentina,24872.325788556598
1999,argentina,24872.325788556598
2000,argentina,24872.325788556598
2001,argentina,24872.325788556598
2002,argentina,24872.325788556598
2003,argentina,24872.325788556598
2004,argentina,24872.325788556598
2005,argentina,24872.325788556598
2006,argentina,24872.325788556598
2007,argentina,24872.325788556598
2008,argentina,24872.325788556598
2009,argentina,24872.325788556598
2010,argentina,24872.325788556598
2011,argentina,24872.325788556598
2012,argentina,24872.325788556598
2013,argentina,24872.325788556598
2014,argentina,24872.325788556598
2015,argentina,24872.325788556598
2016,argentina,24872.325788556598
2017,argentina,24872.325788556598
2018,argentina,24872.325788556598
2019,argentina,24872.325788556598
1990,bahamas,13253.356513937171
1991,bahamas,13253.356513937171
1992,bahamas,13253.356513937171
1993,bahamas,13253.356513937171
1994,bahamas,13253.356513937171
1995,bahamas,13253.356513937171
1996,bahamas,13253.356513937171
1997,bahamas,13253.356513937171
1998,bahamas,13253.356513937171
1999,bahamas,13253.356513937171
2000,bahamas,13253.356513937171
2001,bahamas,13253.356513937171
2002,bahamas,13253.356513937171
2003,bahamas,13253.356513937171
2004,bahamas,13253.356513937171
2005,bahamas,13253.356513937171
2006,bahamas,13253.356513937171
2007,bahamas,13253.356513937171
2008,bahamas,13253.356513937171
2009,bahamas,13253.356513937171
2010,bahamas,13253.356513937171
2011,bahamas,13253.356513937171
2012,bahamas,13253.356513937171
2013,bahamas,13253.356513937171
2014,bahamas,13253.356513937171
2015,bahamas,13253.356513937171
2016,bahamas,13253.356513937171
2017,bahamas,13253.356513937171
2018,bahamas,13253.356513937171
2019,bahamas,13253.356513937171
1990,barbados,13253.356513937171
1991,barbados,13253.356513937171
1992,barbados,13253.356513937171
1993,barbados,13253.356513937171
1994,barbados,13253.356513937171
1995,barbados,13253.356513937171
1996,barbados,13253.356513937171
1997,barbados,13253.356513937171
1998,barbados,13253.356513937171
1999,barbados,13253.356513937171
2000,barbados,13253.356513937171
2001,barbados,13253.356513937171
2002,barbados,13253.356513937171
2003,barbados,13253.356513937171
2004,barbados,13253.356513937171
2005,barbados,13253.356513937171
2006,barbados,13253.356513937171
2007,barbados,13253.356513937171
2008,barbados,13253.356513937171
2009,barbados,13253.356513937171
2010,barbados,13253.356513937171
2011,barbados,13253.356513937171
2012,barbados,13253.356513937171
2013,barbados,13253.356513937171
2014,barbados,13253.356513937171
2015,barbados,13253.356513937171
2016,barbados,13253.356513937171
2017,barbados,13253.356513937171
2018,barbados,13253.356513937171
2019,barbados,13253.356513937171
1990,belize,13253.356513937171
1991,belize,13253.356513937171
1992,belize,13253.356513937171
1993,belize,13253.356513937171
1994,belize,13253.356513937171
1995,belize,13253.356513937171
1996,belize,13253.356513937171
1997,belize,13253.356513937171
1998,belize,13253.356513937171
1999,belize,13253.356513937171
2000,belize,13253.356513937171
2001,belize,13253.356513937171
2002,belize,13253.356513937171
2003,belize,13253.356513937171
2004,belize,13253.356513937171
2005,belize,13253.356513937171
2006,belize,13253.356513937171
2007,belize,13253.356513937171
2008,belize,13253.356513937171
2009,belize,13253.356513937171
2010,belize,13253.356513937171
2011,belize,13253.356513937171
2012,belize,13253.356513937171
2013,belize,13253.356513937171
2014,belize,13253.356513937171
2015,belize,13253.356513937171
2016,belize,13253.356513937171
2017,belize,13253.356513937171
2018,belize,13253.356513937171
2019,belize,13253.356513937171
1990,bolivia,491.8508158608875
1991,bolivia,491.8508158608875
1992,bolivia,491.8508158608875
1993,bolivia,491.8508158608875
1994,bolivia,491.8508158608875
1995,bolivia,491.8508158608875
1996,bolivia,491.8508158608875
1997,bolivia,491.8508158608875
1998,bolivia,491.8508158608875
1999,bolivia,491.8508158608875
2000,bolivia,491.8508158608875
2001,bolivia,491.8508158608875
2002,bolivia,491.8508158608875
2003,bolivia,491.8508158608875
2004,bolivia,491.8508158608875
2005,bolivia,491.8508158608875
2006,bolivia,491.8508158608875
2007,bolivia,491.8508158608875
2008,bolivia,491.8508158608875
2009,bolivia,491.8508158608875
2010,bolivia,491.8508158608875
2011,bolivia,491.8508158608875
2012,bolivia,491.8508158608875
2013,bolivia,491.8508158608875
2014,bolivia,491.8508158608875
2015,bolivia,491.8508158608875
2016,bolivia,491.8508158608875
2017,bolivia,491.8508158608875
2018,bolivia,491.8508158608875
2019,bolivia,491.8508158608875
1990,brazil,92066.78150425237
1991,brazil,92066.78150425237
1992,brazil,92066.78150425237
1993,brazil,92066.78150425237
1994,brazil,92066.78150425237
1995,brazil,92066.78150425237
1996,brazil,92066.78150425237
1997,brazil,92066.78150425237
1998,brazil,92066.78150425237
1999,brazil,92066.78150425237
2000,brazil,92066.78150425237
2001,brazil,92066.78150425237
2002,brazil,92066.78150425237
2003,brazil,92066.78150425237
2004,brazil,92066.78150425237
2005,brazil,92066.78150425237
2006,brazil,92066.78150425237
2007,brazil,92066.78150425237
2008,brazil,92066.78150425237
2009,brazil,92066.78150425237
2010,brazil,92066.78150425237
2011,brazil,92066.78150425237
2012,brazil,92066.78150425237
2013,brazil,92066.78150425237
2014,brazil,92066.78150425237
2015,brazil,92066.78150425237
2016,brazil,92066.78150425237
2017,brazil,92066.78150425237
2018,brazil,92066.78150425237
2019,brazil,92066.78150425237
1990,chile,3327.9626081501856
1991,chile,3327.9626081501856
1992,chile,3327.9626081501856
1993,chile,3327.9626081501856
1994,chile,3327.9626081501856
1995,chile,3327.9626081501856
1996,chile,3327.9626081501856
1997,chile,3327.9626081501856
1998,chile,3327.9626081501856
1999,chile,3327.9626081501856
2000,chile,3327.9626081501856
2001,chile,3327.9626081501856
2002,chile,3327.9626081501856
2003,chile,3327.9626081501856
2004,chile,3327.9626081501856
2005,chile,3327.9626081501856
2006,chile,3327.9626081501856
2007,chile,3327.9626081501856
2008,chile,3327.9626081501856
2009,chile,3327.9626081501856
2010,chile,3327.9626081501856
2011,chile,3327.9626081501856
2012,chile,3327.9626081501856
2013,chile,3327.9626081501856
2014,chile,3327.9626081501856
2015,chile,3327.9626081501856
2016,chile,3327.9626081501856
2017,chile,3327.9626081501856
2018,chile,3327.9626081501856
2019,chile,3327.9626081501856
1990,colombia,9774.41377395168
1991,colombia,9774.41377395168
1992,colombia,9774.41377395168
1993,colombia,9774.41377395168
1994,colombia,9774.41377395168
1995,colombia,9774.41377395168
1996,colombia,9774.41377395168
1997,colombia,9774.41377395168
1998,colombia,9774.41377395168
1999,colombia,9774.41377395168
2000,colombia,9774.41377395168
2001,colombia,9774.41377395168
2002,colombia,9774.41377395168
2003,colombia,9774.41377395168
2004,colombia,9774.41377395168
2005,colombia,9774.41377395168
2006,colombia,9774.41377395168
2007,colombia,9774.41377395168
2008,colombia,9774.41377395168
2009,colombia,9774.41377395168
2010,colombia,9774.41377395168
2011,colombia,9774.41377395168
2012,colombia,9774.41377395168
2013,colombia,9774.41377395168
2014,colombia,9774.41377395168
2015,colombia,9774.41377395168
2016,colombia,9774.41377395168
2017,colombia,9774.41377395168
2018,colombia,9774.41377395168
2019,colombia,9774.41377395168
1990,costa_rica,602.5342240244242
1991,costa_rica,602.5342240244242
1992,costa_rica,602.5342240244242
1993,costa_rica,602.5342240244242
1994,costa_rica,602.5342240244242
1995,costa_rica,602.5342240244242
1996,costa_rica,602.5342240244242
1997,costa_rica,602.5342240244242
1998,costa_rica,602.5342240244242
1999,costa_rica,602.5342240244242
2000,costa_rica,602.5342240244242
2001,costa_rica,602.5342240244242
2002,costa_rica,602.5342240244242
2003,costa_rica,602.5342240244242
2004,costa_rica,602.5342240244242
2005,costa_rica,602.5342240244242
2006,costa_rica,602.5342240244242
2007,costa_rica,602.5342240244242
2008,costa_rica,602.5342240244242
2009,costa_rica,602.5342240244242
2010,costa_rica,602.5342240244242
2011,costa_rica,602.5342240244242
2012,costa_rica,602.5342240244242
2013,costa_rica,602.5342240244242
2014,costa_rica,602.5342240244242
2015,costa_rica,602.5342240244242
2016,costa_rica,602.5342240244242
2017,costa_rica,602.5342240244242
2018,costa_rica,602.5342240244242
2019,costa_rica,602.5342240244242
1990,dominican_republic,249.2627111977122
1991,dominican_republic,249.2627111977122
1992,dominican_republic,249.2627111977122
1993,dominican_republic,249.2627111977122
1994,dominican_republic,249.2627111977122
1995,dominican_republic,249.2627111977122
1996,dominican_republic,249.2627111977122
1997,dominican_republic,249.2627111977122
1998,dominican_republic,249.2627111977122
1999,dominican_republic,249.2627111977122
2000,dominican_republic,249.2627111977122
2001,dominican_republic,249.2627111977122
2002,dominican_republic,249.2627111977122
2003,dominican_republic,249.2627111977122
2004,dominican_republic,249.2627111977122
2005,dominican_republic,249.2627111977122
2006,dominican_republic,249.2627111977122
2007,dominican_republic,249.2627111977122
2008,dominican_republic,249.2627111977122
2009,dominican_republic,249.2627111977122
2010,dominican_republic,249.2627111977122
2011,dominican_republic,249.2627111977122
2012,dominican_republic,249.2627111977122
2013,dominican_republic,249.2627111977122
2014,dominican_republic,249.2627111977122
2015,dominican_republic,249.2627111977122
2016,dominican_republic,249.2627111977122
2017,dominican_republic,249.2627111977122
2018,dominican_republic,249.2627111977122
2019,dominican_republic,249.2627111977122
1990,ecuador,3661.0941405165236
1991,ecuador,3661.0941405165236
1992,ecuador,3661.0941405165236
1993,ecuador,3661.0941405165236
1994,ecuador,3661.0941405165236
1995,ecuador,3661.0941405165236
1996,ecuador,3661.0941405165236
1997,ecuador,3661.0941405165236
1998,ecuador,3661.0941405165236
1999,ecuador,3661.0941405165236
2000,ecuador,3661.0941405165236
2001,ecuador,3661.0941405165236
2002,ecuador,3661.0941405165236
2003,ecuador,3661.0941405165236
2004,ecuador,3661.0941405165236
2005,ecuador,3661.0941405165236
2006,ecuador,3661.0941405165236
2007,ecuador,3661.0941405165236
2008,ecuador,3661.0941405165236
