Nation,Year,value,mineria_share,manu_share,industrial_share,comercio_share,total_share
argentina,1960,150.79781029295,,,,,
bahamas,1960,2.20167102503956,,,,,
belize,1960,0.110027507628303,,,,,
brazil,1960,188.463840495972,,0.22619393557002201,0.056986245074889946,0.32347097244806905,
barbados,1960,,,0.17146507609143824,0.0849284703492244,0.48364640772547335,
chile,1960,27.0846870586514,,0.218053927315358,0.14044548651817002,0.521219226260259,
colombia,1960,30.6062441924871,,,,,
costa_rica,1960,4.7914760039351,,,,0.535116201005684,
dominican_republic,1960,4.530917897605939,,,,0.856633190050501,
ecuador,1960,11.683345571628099,,0.197122411667681,0.023085197671160018,0.409723697715428,
guatemala,1960,7.65821896067749,,,,,
guyana,1960,1.55585277497366,,0.0932145305003427,0.1854009595613433,0.38485263879369397,
honduras,1960,2.47092446150415,,0.113362133174438,0.05735140771637098,0.395054372113809,
haiti,1960,6.68707395229156,,,,,
jamaica,1960,,,,,,
mexico,1960,141.339651300022,,,,,
nicaragua,1960,2.9806277313502596,,,,,
panama,1960,3.06886374714319,,,,,
peru,1960,27.5149357161709,,0.180843518320788,0.10133168806562798,0.443100963416342,
paraguay,1960,2.84063724111268,,,,,
el_salvador,1960,,,,,,
uruguay,1960,15.5682444585019,,,,,
argentina,1961,158.982878501396,,,,,
bahamas,1961,2.43652541835062,,,,,
belize,1961,0.115410358318665,,,,,
brazil,1961,204.671730778626,,0.242710783140623,0.08012324170193402,0.299733564202197,
barbados,1961,,,0.1749549151939855,0.08587096449741946,0.48219215474572796,
chile,1961,28.5053525342896,,0.221665623043205,0.13629722396159502,0.525568774786057,
colombia,1961,32.1638623699921,,,,,
costa_rica,1961,4.88152108929929,,,,0.537670987481756,
dominican_republic,1961,4.42610649599265,,,,0.8691327414362511,
ecuador,1961,12.2820486706423,,0.19303315619697797,0.02364918641919503,0.411327053707337,
guatemala,1961,7.98740890781677,,,,,
guyana,1961,1.62881486907249,,0.0988700564971751,0.1823603264281229,0.38386691776522297,
honduras,1961,2.51677640158448,,0.11243683323975301,0.054183043234138,0.389528354856822,
haiti,1961,6.49101026202213,,,,,
jamaica,1961,,,,,,
mexico,1961,148.406633868462,,,,,
nicaragua,1961,3.20410755028516,,,,,
panama,1961,3.40418605506219,,,,,
peru,1961,29.5364845487761,,0.181013039046179,0.09577228865689502,0.44070884373018104,
paraguay,1961,3.03664932117202,,,,,
el_salvador,1961,,,,,,
uruguay,1961,15.9563666960808,,,,,
argentina,1962,157.628310157913,,,,,
bahamas,1962,2.69119037018633,,,,,
belize,1962,0.121056985731217,,,,,
brazil,1962,218.18006501001503,,0.248137406564965,0.06104799274391501,0.457533770086464,
barbados,1962,,,0.17607733820062715,0.0815898125265841,0.484506555480043,
chile,1962,29.653173467052,,0.236241373208281,0.140683064944258,0.514953105645019,
colombia,1962,33.9045350970798,,,,,
costa_rica,1962,5.14719257192939,,,,0.5375320984708339,
dominican_republic,1962,5.180635534246529,,,,0.8670064312583421,
ecuador,1962,12.8862206921956,,0.19470950987839403,0.022223295188932984,0.400821390204224,
guatemala,1962,8.26988372477256,,,,,
guyana,1962,1.64681206497173,,0.106523040095751,0.211549970077798,0.360562537402753,
honduras,1962,2.66186468632059,,0.113733075435203,0.064732430689878,0.380786589297228,
haiti,1962,7.00299362273423,,,,,
jamaica,1962,,,,,,
mexico,1962,155.328934667195,,,,,
nicaragua,1962,3.55306044191004,,,,,
panama,1962,3.68485223608667,,,,,
peru,1962,32.5005574138627,,0.182714212705866,0.09428194650943797,0.452152110576364,
paraguay,1962,3.13686659904762,,0.15048274951593,0.030078331279705023,0.38921096637915903,
el_salvador,1962,,,,,,
uruguay,1962,15.705125907712,,,,,
argentina,1963,149.261089200418,,,,,
bahamas,1963,2.97441273038912,,,,,
belize,1963,0.127057095567334,,,,,
brazil,1963,219.48914540007502,,0.268688822713284,0.07500638424427097,0.397143312565548,
barbados,1963,,,0.18116611379729958,0.08011440101377476,0.4814448553079748,
chile,1963,31.384960352588198,,0.23662622761409602,0.15840554592720996,0.509763142692085,
colombia,1963,35.0188780131585,,,,,
costa_rica,1963,5.50229344703228,,,,0.541801240608514,
dominican_republic,1963,5.517527218636619,,,,0.873299306260556,
ecuador,1963,13.1576519529506,,0.199142066523735,0.022452067229719014,0.398929518596431,
guatemala,1963,9.05891696385101,,,,,
guyana,1963,1.44460565578701,,0.131762363093263,0.16461998008629203,0.36541652837703303,
honduras,1963,2.75717106665493,,0.115919063871282,0.06399317406143402,0.39115065821550504,
haiti,1963,6.87044148109679,,,,,
jamaica,1963,,,,,,
