Country,Data source,Sector,Gas,Unit,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Brazil,Climate Watch,Industrial Processes,CO2,MtCO₂e,21.03,20.64,21.03,22.42,25.08,26.91,26.65,25.0,22.85,21.29,19.03,18.88,17.2,15.44,14.35,13.27,13.1,14.39,15.23,16.05,16.44,16.18,15.27,13.88,11.53,10.09,10.16,9.77,11.78,11.06
Mexico,Climate Watch,Industrial Processes,CO2,MtCO₂e,20.86,20.86,17.96,17.52,19.16,18.26,17.44,18.41,17.77,17.05,17.86,18.64,18.97,17.82,16.67,15.35,14.65,14.55,14.06,14.57,13.9,13.41,12.91,12.27,11.03,13.84,12.39,11.75,10.95,10.74
Colombia,Climate Watch,Industrial Processes,CO2,MtCO₂e,5.31,5.31,5.24,5.32,5.61,5.28,4.79,5.05,4.59,4.04,3.93,4.44,4.54,4.12,4.13,3.44,3.38,3.11,3.12,3.24,2.88,3.82,3.85,3.73,3.9,3.92,3.32,2.89,2.72,2.72
Peru,Climate Watch,Industrial Processes,CO2,MtCO₂e,4.32,4.32,4.29,4.34,4.48,4.59,4.26,3.73,3.3,3.34,3.33,2.94,2.73,2.61,2.38,2.13,1.85,1.83,1.81,1.78,1.73,1.99,1.97,1.77,1.75,1.47,1.16,0.97,1.03,1.03
Argentina,Climate Watch,Industrial Processes,CO2,MtCO₂e,4.1,4.38,4.42,4.03,4.57,4.34,4.58,4.18,4.59,4.18,3.81,3.99,4.0,3.76,3.24,2.7,2.28,1.73,2.48,2.77,3.29,3.28,3.17,2.42,2.62,3.05,2.76,2.5,2.2,1.82
Venezuela,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.76,2.76,3.17,2.88,3.24,3.13,3.47,3.3,3.04,2.81,3.14,3.25,3.32,4.65,2.47,2.15,3.35,3.08,3.86,3.86,3.82,3.69,3.66,3.4,3.46,3.12,3.09,2.97,2.86,2.37
Ecuador,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.29,2.29,2.25,2.21,2.45,2.6,2.61,2.35,2.24,2.09,2.11,2.22,1.83,1.74,1.57,1.49,1.35,1.32,1.3,1.26,1.03,1.17,1.3,1.36,1.18,0.98,0.95,1.02,1.04,1.02
Dominican Republic,Climate Watch,Industrial Processes,CO2,MtCO₂e,2.05,2.05,2.04,2.01,2.01,1.95,1.65,1.61,1.56,1.62,1.52,1.67,1.64,1.54,1.14,1.1,1.21,1.28,1.16,1.07,0.97,0.81,0.79,0.7,0.62,0.55,0.55,0.59,0.53,0.46
Guatemala,Climate Watch,Industrial Processes,CO2,MtCO₂e,1.47,1.47,1.43,1.4,1.36,1.36,1.15,1.12,1.11,1.1,0.59,0.99,1.0,0.98,0.99,0.91,0.83,0.84,0.85,0.84,0.68,0.64,0.55,0.47,0.49,0.52,0.48,0.6,0.62,0.73
Bolivia,Climate Watch,Industrial Processes,CO2,MtCO₂e,1.44,1.44,1.42,1.42,1.37,1.32,1.2,1.06,1.04,0.95,0.91,0.8,0.72,0.69,0.61,0.55,0.49,0.44,0.44,0.48,0.54,0.53,0.47,0.42,0.4,0.35,0.3,0.27,0.27,0.25
Chile,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.78,0.78,0.87,1.12,1.03,1.02,1.09,1.13,1.08,1.05,1.08,1.31,1.32,1.24,1.15,1.19,1.11,1.08,1.01,1.01,0.95,1.13,0.95,0.96,0.99,0.94,0.86,0.85,0.77,0.66
Panama,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.78,0.78,0.74,0.85,0.85,0.85,0.92,0.9,0.69,0.59,0.66,0.73,0.42,0.43,0.43,0.43,0.37,0.31,0.35,0.4,0.32,0.32,0.3,0.28,0.26,0.26,0.25,0.11,0.13,0.13
Honduras,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.77,0.77,0.72,0.72,0.72,0.66,0.69,0.77,0.67,0.61,0.64,0.65,0.64,0.62,0.51,0.52,0.48,0.47,0.51,0.5,0.38,0.35,0.42,0.38,0.29,0.25,0.3,0.27,0.29,0.28
Costa Rica,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.74,0.74,0.7,0.62,0.62,0.58,0.57,0.54,0.55,0.5,0.83,0.83,0.92,0.57,0.82,0.62,0.47,0.5,0.51,0.45,0.47,0.46,0.4,0.36,0.37,0.4,0.37,0.3,0.3,0.27
Cuba,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.72,0.72,0.64,0.67,0.67,0.71,0.92,0.95,0.94,0.93,1.02,1.08,1.16,1.14,1.07,0.94,0.92,0.98,0.8,0.81,0.89,0.86,0.94,0.72,0.73,0.57,0.52,0.54,0.86,1.51
Paraguay,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.41,0.41,0.41,0.38,0.35,0.26,0.22,0.29,0.2,0.25,0.27,0.23,0.21,0.23,0.23,0.21,0.22,0.19,0.2,0.24,0.24,0.25,0.27,0.27,0.29,0.26,0.21,0.22,0.14,0.14
El Salvador,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.39,0.39,0.39,0.39,0.39,0.39,0.47,0.54,0.52,0.51,0.48,0.52,0.52,0.53,0.46,0.52,0.58,0.56,0.5,0.45,0.44,0.46,0.44,0.41,0.38,0.37,0.37,0.18,0.29,0.28
Nicaragua,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.35,0.35,0.35,0.27,0.27,0.27,0.25,0.24,0.27,0.24,0.21,0.21,0.21,0.22,0.22,0.22,0.37,0.23,0.22,0.23,0.15,0.16,0.16,0.15,0.14,0.13,0.11,0.12,0.1,0.09
Jamaica,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.33,0.32,0.36,0.4,0.42,0.41,0.36,0.34,0.33,0.33,0.39,0.3,0.27,0.31,0.28,0.32,0.31,0.28,0.27,0.27,0.24,0.26,0.24,0.27,0.26,0.22,0.23,0.24,0.19,0.22
Uruguay,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.32,0.32,0.32,0.29,0.34,0.33,0.33,0.34,0.38,0.33,0.42,0.25,0.26,0.26,0.26,0.27,0.46,0.44,0.45,0.31,0.35,0.39,0.35,0.31,0.27,0.32,0.23,0.23,0.23,0.23
Trinidad and Tobago,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.25,0.25,0.26,0.28,0.33,0.32,0.31,0.25,0.32,0.31,0.34,0.38,0.36,0.36,0.28,0.32,0.32,0.31,0.29,0.32,0.29,0.29,0.28,0.26,0.24,0.25,0.23,0.21,0.21,0.19
Guyana,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.16,0.16,0.16,0.16,0.04,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Haiti,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.08,0.08,0.08,0.08,0.08,0.08,0.04,0.03,0.02,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.11,0.09
Barbados,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.1,0.1,0.11,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.12,0.13,0.13,0.13,0.09,0.05,0.04,0.04,0.03,0.09,0.1,0.1
Suriname,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.01,0.01,0.01,0.01,0.03,0.03,0.05,0.04,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02
Antigua and Barbuda,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grenada,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Kitts and Nevis,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Lucia,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,Climate Watch,Industrial Processes,CO2,MtCO₂e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
