Year,Nation,Production Quantity,Unit,Item
1961,Argentina,80,tonnes,"Almonds, with shell"
1962,Argentina,90,tonnes,"Almonds, with shell"
1963,Argentina,100,tonnes,"Almonds, with shell"
1964,Argentina,100,tonnes,"Almonds, with shell"
1965,Argentina,110,tonnes,"Almonds, with shell"
1966,Argentina,120,tonnes,"Almonds, with shell"
1967,Argentina,118,tonnes,"Almonds, with shell"
1968,Argentina,180,tonnes,"Almonds, with shell"
1969,Argentina,260,tonnes,"Almonds, with shell"
1970,Argentina,350,tonnes,"Almonds, with shell"
1971,Argentina,160,tonnes,"Almonds, with shell"
1972,Argentina,300,tonnes,"Almonds, with shell"
1973,Argentina,100,tonnes,"Almonds, with shell"
1974,Argentina,370,tonnes,"Almonds, with shell"
1975,Argentina,346,tonnes,"Almonds, with shell"
1976,Argentina,125,tonnes,"Almonds, with shell"
1977,Argentina,100,tonnes,"Almonds, with shell"
1978,Argentina,110,tonnes,"Almonds, with shell"
1979,Argentina,160,tonnes,"Almonds, with shell"
1980,Argentina,290,tonnes,"Almonds, with shell"
1981,Argentina,560,tonnes,"Almonds, with shell"
1982,Argentina,380,tonnes,"Almonds, with shell"
1983,Argentina,400,tonnes,"Almonds, with shell"
1984,Argentina,400,tonnes,"Almonds, with shell"
1985,Argentina,400,tonnes,"Almonds, with shell"
1986,Argentina,400,tonnes,"Almonds, with shell"
1987,Argentina,400,tonnes,"Almonds, with shell"
1988,Argentina,400,tonnes,"Almonds, with shell"
1989,Argentina,420,tonnes,"Almonds, with shell"
1990,Argentina,451,tonnes,"Almonds, with shell"
1991,Argentina,430,tonnes,"Almonds, with shell"
1992,Argentina,440,tonnes,"Almonds, with shell"
1993,Argentina,450,tonnes,"Almonds, with shell"
1994,Argentina,453,tonnes,"Almonds, with shell"
1995,Argentina,456,tonnes,"Almonds, with shell"
1996,Argentina,460,tonnes,"Almonds, with shell"
1997,Argentina,463,tonnes,"Almonds, with shell"
1998,Argentina,466,tonnes,"Almonds, with shell"
1999,Argentina,470,tonnes,"Almonds, with shell"
2000,Argentina,473,tonnes,"Almonds, with shell"
2001,Argentina,476,tonnes,"Almonds, with shell"
2002,Argentina,480,tonnes,"Almonds, with shell"
2003,Argentina,482,tonnes,"Almonds, with shell"
2004,Argentina,486,tonnes,"Almonds, with shell"
2005,Argentina,489,tonnes,"Almonds, with shell"
2006,Argentina,490,tonnes,"Almonds, with shell"
2007,Argentina,500,tonnes,"Almonds, with shell"
2008,Argentina,538,tonnes,"Almonds, with shell"
2009,Argentina,577,tonnes,"Almonds, with shell"
2010,Argentina,620,tonnes,"Almonds, with shell"
2011,Argentina,620,tonnes,"Almonds, with shell"
2012,Argentina,650,tonnes,"Almonds, with shell"
2013,Argentina,669,tonnes,"Almonds, with shell"
2014,Argentina,689,tonnes,"Almonds, with shell"
2015,Argentina,715,tonnes,"Almonds, with shell"
2016,Argentina,741,tonnes,"Almonds, with shell"
2017,Argentina,765,tonnes,"Almonds, with shell"
2018,Argentina,789,tonnes,"Almonds, with shell"
2019,Argentina,812,tonnes,"Almonds, with shell"
1961,Argentina,3845,tonnes,"Walnuts, with shell"
1962,Argentina,5379,tonnes,"Walnuts, with shell"
1963,Argentina,4450,tonnes,"Walnuts, with shell"
1964,Argentina,4430,tonnes,"Walnuts, with shell"
1965,Argentina,4780,tonnes,"Walnuts, with shell"
1966,Argentina,4943,tonnes,"Walnuts, with shell"
1967,Argentina,4894,tonnes,"Walnuts, with shell"
1968,Argentina,6390,tonnes,"Walnuts, with shell"
1969,Argentina,5900,tonnes,"Walnuts, with shell"
1970,Argentina,5800,tonnes,"Walnuts, with shell"
1971,Argentina,6511,tonnes,"Walnuts, with shell"
1972,Argentina,5600,tonnes,"Walnuts, with shell"
1973,Argentina,5740,tonnes,"Walnuts, with shell"
1974,Argentina,7560,tonnes,"Walnuts, with shell"
1975,Argentina,7760,tonnes,"Walnuts, with shell"
1976,Argentina,8715,tonnes,"Walnuts, with shell"
1977,Argentina,9300,tonnes,"Walnuts, with shell"
1978,Argentina,10300,tonnes,"Walnuts, with shell"
1979,Argentina,10800,tonnes,"Walnuts, with shell"
1980,Argentina,11300,tonnes,"Walnuts, with shell"
1981,Argentina,5600,tonnes,"Walnuts, with shell"
1982,Argentina,7700,tonnes,"Walnuts, with shell"
1983,Argentina,6100,tonnes,"Walnuts, with shell"
1984,Argentina,5900,tonnes,"Walnuts, with shell"
1985,Argentina,7300,tonnes,"Walnuts, with shell"
1986,Argentina,7400,tonnes,"Walnuts, with shell"
1987,Argentina,8200,tonnes,"Walnuts, with shell"
1988,Argentina,7600,tonnes,"Walnuts, with shell"
1989,Argentina,7500,tonnes,"Walnuts, with shell"
1990,Argentina,7800,tonnes,"Walnuts, with shell"
1991,Argentina,8000,tonnes,"Walnuts, with shell"
1992,Argentina,8200,tonnes,"Walnuts, with shell"
1993,Argentina,8400,tonnes,"Walnuts, with shell"
1994,Argentina,8500,tonnes,"Walnuts, with shell"
1995,Argentina,8600,tonnes,"Walnuts, with shell"
1996,Argentina,8700,tonnes,"Walnuts, with shell"
1997,Argentina,8765,tonnes,"Walnuts, with shell"
1998,Argentina,8886,tonnes,"Walnuts, with shell"
1999,Argentina,8900,tonnes,"Walnuts, with shell"
2000,Argentina,9120,tonnes,"Walnuts, with shell"
