Year,Nation,ef_agrc_anaerobicdom_rice_kg_ch4_ha
2019,argentina,248.54
2019,bahamas,248.54
2019,barbados,248.54
2019,belize,248.54
2019,bolivia,248.54
2019,brazil,248.54
2019,chile,248.54
2019,colombia,248.54
2019,costa_rica,248.54
2019,dominican_republic,248.54
2019,ecuador,248.54
2019,el_salvador,248.54
2019,guatemala,248.54
2019,guyana,248.54
2019,haiti,248.54
2019,honduras,248.54
2019,jamaica,248.54
2019,mexico,248.54
2019,nicaragua,248.54
2019,panama,248.54
2019,paraguay,248.54
2019,peru,248.54
2019,suriname,248.54
2019,trinidad_and_tobago,248.54
2019,uruguay,248.54
2019,venezuela,248.54
2018,argentina,248.54
2018,bahamas,248.54
2018,barbados,248.54
2018,belize,248.54
2018,bolivia,248.54
2018,brazil,248.54
2018,chile,248.54
2018,colombia,248.54
2018,costa_rica,248.54
2018,dominican_republic,248.54
2018,ecuador,248.54
2018,el_salvador,248.54
2018,guatemala,248.54
2018,guyana,248.54
2018,haiti,248.54
2018,honduras,248.54
2018,jamaica,248.54
2018,mexico,248.54
2018,nicaragua,248.54
2018,panama,248.54
2018,paraguay,248.54
2018,peru,248.54
2018,suriname,248.54
2018,trinidad_and_tobago,248.54
2018,uruguay,248.54
2018,venezuela,248.54
2017,argentina,248.54
2017,bahamas,248.54
2017,barbados,248.54
2017,belize,248.54
2017,bolivia,248.54
2017,brazil,248.54
2017,chile,248.54
2017,colombia,248.54
2017,costa_rica,248.54
2017,dominican_republic,248.54
2017,ecuador,248.54
2017,el_salvador,248.54
2017,guatemala,248.54
2017,guyana,248.54
2017,haiti,248.54
2017,honduras,248.54
2017,jamaica,248.54
2017,mexico,248.54
2017,nicaragua,248.54
2017,panama,248.54
2017,paraguay,248.54
2017,peru,248.54
2017,suriname,248.54
2017,trinidad_and_tobago,248.54
2017,uruguay,248.54
2017,venezuela,248.54
2016,argentina,248.54
2016,bahamas,248.54
2016,barbados,248.54
2016,belize,248.54
2016,bolivia,248.54
2016,brazil,248.54
2016,chile,248.54
2016,colombia,248.54
2016,costa_rica,248.54
2016,dominican_republic,248.54
2016,ecuador,248.54
2016,el_salvador,248.54
2016,guatemala,248.54
2016,guyana,248.54
2016,haiti,248.54
2016,honduras,248.54
2016,jamaica,248.54
2016,mexico,248.54
2016,nicaragua,248.54
2016,panama,248.54
2016,paraguay,248.54
2016,peru,248.54
2016,suriname,248.54
2016,trinidad_and_tobago,248.54
2016,uruguay,248.54
2016,venezuela,248.54
2015,argentina,248.54
2015,bahamas,248.54
2015,barbados,248.54
2015,belize,248.54
2015,bolivia,248.54
2015,brazil,248.54
2015,chile,248.54
2015,colombia,248.54
2015,costa_rica,248.54
2015,dominican_republic,248.54
2015,ecuador,248.54
2015,el_salvador,248.54
2015,guatemala,248.54
2015,guyana,248.54
2015,haiti,248.54
2015,honduras,248.54
2015,jamaica,248.54
2015,mexico,248.54
2015,nicaragua,248.54
2015,panama,248.54
2015,paraguay,248.54
2015,peru,248.54
2015,suriname,248.54
2015,trinidad_and_tobago,248.54
2015,uruguay,248.54
2015,venezuela,248.54
2014,argentina,248.54
2014,bahamas,248.54
2014,barbados,248.54
2014,belize,248.54
2014,bolivia,248.54
2014,brazil,248.54
2014,chile,248.54
2014,colombia,248.54
2014,costa_rica,248.54
2014,dominican_republic,248.54
2014,ecuador,248.54
2014,el_salvador,248.54
2014,guatemala,248.54
2014,guyana,248.54
2014,haiti,248.54
2014,honduras,248.54
2014,jamaica,248.54
2014,mexico,248.54
2014,nicaragua,248.54
2014,panama,248.54
2014,paraguay,248.54
2014,peru,248.54
2014,suriname,248.54
2014,trinidad_and_tobago,248.54
2014,uruguay,248.54
2014,venezuela,248.54
2013,argentina,248.54
2013,bahamas,248.54
2013,barbados,248.54
2013,belize,248.54
2013,bolivia,248.54
2013,brazil,248.54
2013,chile,248.54
2013,colombia,248.54
2013,costa_rica,248.54
2013,dominican_republic,248.54
2013,ecuador,248.54
2013,el_salvador,248.54
2013,guatemala,248.54
2013,guyana,248.54
2013,haiti,248.54
2013,honduras,248.54
2013,jamaica,248.54
2013,mexico,248.54
2013,nicaragua,248.54
2013,panama,248.54
2013,paraguay,248.54
2013,peru,248.54
2013,suriname,248.54
2013,trinidad_and_tobago,248.54
2013,uruguay,248.54
2013,venezuela,248.54
2012,argentina,248.54
2012,bahamas,248.54
2012,barbados,248.54
2012,belize,248.54
2012,bolivia,248.54
2012,brazil,248.54
2012,chile,248.54
2012,colombia,248.54
2012,costa_rica,248.54
2012,dominican_republic,248.54
2012,ecuador,248.54
2012,el_salvador,248.54
2012,guatemala,248.54
2012,guyana,248.54
2012,haiti,248.54
2012,honduras,248.54
2012,jamaica,248.54
2012,mexico,248.54
2012,nicaragua,248.54
2012,panama,248.54
2012,paraguay,248.54
2012,peru,248.54
2012,suriname,248.54
2012,trinidad_and_tobago,248.54
2012,uruguay,248.54
2012,venezuela,248.54
2011,argentina,248.54
2011,bahamas,248.54
2011,barbados,248.54
2011,belize,248.54
2011,bolivia,248.54
2011,brazil,248.54
2011,chile,248.54
2011,colombia,248.54
2011,costa_rica,248.54
2011,dominican_republic,248.54
2011,ecuador,248.54
2011,el_salvador,248.54
2011,guatemala,248.54
2011,guyana,248.54
2011,haiti,248.54
2011,honduras,248.54
2011,jamaica,248.54
2011,mexico,248.54
2011,nicaragua,248.54
2011,panama,248.54
2011,paraguay,248.54
2011,peru,248.54
2011,suriname,248.54
2011,trinidad_and_tobago,248.54
2011,uruguay,248.54
2011,venezuela,248.54
