Area Code (FAO),Nation,Item,Year,yf_agrc_coffee_tonne_ha,Unit,Element
23,Belize,"Coffee, green",1998,26571,hg/ha,Yield
23,Belize,"Coffee, green",1999,17500,hg/ha,Yield
23,Belize,"Coffee, green",2000,41250,hg/ha,Yield
23,Belize,"Coffee, green",2001,32714,hg/ha,Yield
23,Belize,"Coffee, green",2002,32429,hg/ha,Yield
23,Belize,"Coffee, green",2003,32714,hg/ha,Yield
23,Belize,"Coffee, green",2004,33000,hg/ha,Yield
23,Belize,"Coffee, green",2005,27000,hg/ha,Yield
23,Belize,"Coffee, green",2006,23750,hg/ha,Yield
23,Belize,"Coffee, green",2007,10000,hg/ha,Yield
23,Belize,"Coffee, green",2008,22500,hg/ha,Yield
23,Belize,"Coffee, green",2009,20192,hg/ha,Yield
23,Belize,"Coffee, green",2010,18000,hg/ha,Yield
23,Belize,"Coffee, green",2011,16545,hg/ha,Yield
23,Belize,"Coffee, green",2012,15085,hg/ha,Yield
23,Belize,"Coffee, green",2013,13594,hg/ha,Yield
23,Belize,"Coffee, green",2014,12941,hg/ha,Yield
23,Belize,"Coffee, green",2015,11974,hg/ha,Yield
23,Belize,"Coffee, green",2016,10455,hg/ha,Yield
23,Belize,"Coffee, green",2017,9278,hg/ha,Yield
23,Belize,"Coffee, green",2018,8091,hg/ha,Yield
23,Belize,"Coffee, green",2019,7273,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1961,7333,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1962,7333,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1963,6900,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1964,6900,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1965,6901,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1966,6644,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1967,7873,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1968,7910,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1969,8313,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1970,8358,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1971,8412,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1972,8436,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1973,8323,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1974,8305,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1975,8613,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1976,7118,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1977,7132,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1978,6881,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1979,7042,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1980,8983,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1981,9074,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1982,8995,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1983,8989,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1984,8503,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1985,8424,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1986,8434,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1987,9000,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1988,8797,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1989,8840,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1990,8850,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1991,6369,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1992,6857,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1993,5691,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1994,8196,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1995,8638,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1996,9331,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1997,9546,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1998,9547,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",1999,11095,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2000,11349,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2001,9755,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2002,9866,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2003,9872,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2004,9768,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2005,9788,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2006,9889,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2007,10520,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2008,10601,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2009,10719,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2010,9311,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2011,9322,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2012,9005,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2013,9724,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2014,8966,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2015,9098,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2016,9194,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2017,8985,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2018,8994,hg/ha,Yield
19,Bolivia (Plurinational State of),"Coffee, green",2019,9742,hg/ha,Yield
21,Brazil,"Coffee, green",1961,5084,hg/ha,Yield
21,Brazil,"Coffee, green",1962,4908,hg/ha,Yield
21,Brazil,"Coffee, green",1963,3851,hg/ha,Yield
21,Brazil,"Coffee, green",1964,2819,hg/ha,Yield
21,Brazil,"Coffee, green",1965,6534,hg/ha,Yield
21,Brazil,"Coffee, green",1966,3934,hg/ha,Yield
21,Brazil,"Coffee, green",1967,5400,hg/ha,Yield
21,Brazil,"Coffee, green",1968,4033,hg/ha,Yield
21,Brazil,"Coffee, green",1969,4992,hg/ha,Yield
21,Brazil,"Coffee, green",1970,3141,hg/ha,Yield
21,Brazil,"Coffee, green",1971,6491,hg/ha,Yield
21,Brazil,"Coffee, green",1972,6602,hg/ha,Yield
21,Brazil,"Coffee, green",1973,4197,hg/ha,Yield
21,Brazil,"Coffee, green",1974,7496,hg/ha,Yield
21,Brazil,"Coffee, green",1975,5739,hg/ha,Yield
21,Brazil,"Coffee, green",1976,3354,hg/ha,Yield
21,Brazil,"Coffee, green",1977,5024,hg/ha,Yield
21,Brazil,"Coffee, green",1978,5805,hg/ha,Yield
21,Brazil,"Coffee, green",1979,5539,hg/ha,Yield
21,Brazil,"Coffee, green",1980,4361,hg/ha,Yield
21,Brazil,"Coffee, green",1981,7763,hg/ha,Yield
21,Brazil,"Coffee, green",1982,5054,hg/ha,Yield
21,Brazil,"Coffee, green",1983,7125,hg/ha,Yield
21,Brazil,"Coffee, green",1984,5669,hg/ha,Yield
21,Brazil,"Coffee, green",1985,7541,hg/ha,Yield
21,Brazil,"Coffee, green",1986,4019,hg/ha,Yield
21,Brazil,"Coffee, green",1987,7660,hg/ha,Yield
21,Brazil,"Coffee, green",1988,4567,hg/ha,Yield
21,Brazil,"Coffee, green",1989,5038,hg/ha,Yield
21,Brazil,"Coffee, green",1990,5036,hg/ha,Yield
21,Brazil,"Coffee, green",1991,5502,hg/ha,Yield
21,Brazil,"Coffee, green",1992,5177,hg/ha,Yield
21,Brazil,"Coffee, green",1993,5660,hg/ha,Yield
21,Brazil,"Coffee, green",1994,6232,hg/ha,Yield
21,Brazil,"Coffee, green",1995,4974,hg/ha,Yield
21,Brazil,"Coffee, green",1996,7130,hg/ha,Yield
21,Brazil,"Coffee, green",1997,6179,hg/ha,Yield
21,Brazil,"Coffee, green",1998,8160,hg/ha,Yield
21,Brazil,"Coffee, green",1999,7341,hg/ha,Yield
21,Brazil,"Coffee, green",2000,8393,hg/ha,Yield
21,Brazil,"Coffee, green",2001,7789,hg/ha,Yield
21,Brazil,"Coffee, green",2002,11011,hg/ha,Yield
21,Brazil,"Coffee, green",2003,8295,hg/ha,Yield
21,Brazil,"Coffee, green",2004,10412,hg/ha,Yield
21,Brazil,"Coffee, green",2005,9201,hg/ha,Yield
21,Brazil,"Coffee, green",2006,11130,hg/ha,Yield
21,Brazil,"Coffee, green",2007,9933,hg/ha,Yield
21,Brazil,"Coffee, green",2008,12586,hg/ha,Yield
21,Brazil,"Coffee, green",2009,11426,hg/ha,Yield
21,Brazil,"Coffee, green",2010,13461,hg/ha,Yield
21,Brazil,"Coffee, green",2011,12568,hg/ha,Yield
21,Brazil,"Coffee, green",2012,14327,hg/ha,Yield
21,Brazil,"Coffee, green",2013,14215,hg/ha,Yield
21,Brazil,"Coffee, green",2014,14036,hg/ha,Yield
21,Brazil,"Coffee, green",2015,13387,hg/ha,Yield
21,Brazil,"Coffee, green",2016,15148,hg/ha,Yield
21,Brazil,"Coffee, green",2017,14894,hg/ha,Yield
21,Brazil,"Coffee, green",2018,19060,hg/ha,Yield
21,Brazil,"Coffee, green",2019,16504,hg/ha,Yield
44,Colombia,"Coffee, green",1961,5409,hg/ha,Yield
44,Colombia,"Coffee, green",1962,5851,hg/ha,Yield
44,Colombia,"Coffee, green",1963,5556,hg/ha,Yield
44,Colombia,"Coffee, green",1964,5756,hg/ha,Yield
44,Colombia,"Coffee, green",1965,6059,hg/ha,Yield
44,Colombia,"Coffee, green",1966,6067,hg/ha,Yield
44,Colombia,"Coffee, green",1967,5623,hg/ha,Yield
44,Colombia,"Coffee, green",1968,5882,hg/ha,Yield
44,Colombia,"Coffee, green",1969,5852,hg/ha,Yield
44,Colombia,"Coffee, green",1970,6108,hg/ha,Yield
44,Colombia,"Coffee, green",1971,5778,hg/ha,Yield
44,Colombia,"Coffee, green",1972,5333,hg/ha,Yield
44,Colombia,"Coffee, green",1973,6439,hg/ha,Yield
44,Colombia,"Coffee, green",1974,5875,hg/ha,Yield
44,Colombia,"Coffee, green",1975,6183,hg/ha,Yield
44,Colombia,"Coffee, green",1976,5750,hg/ha,Yield
44,Colombia,"Coffee, green",1977,6394,hg/ha,Yield
44,Colombia,"Coffee, green",1978,6211,hg/ha,Yield
44,Colombia,"Coffee, green",1979,6794,hg/ha,Yield
44,Colombia,"Coffee, green",1980,6682,hg/ha,Yield
