Nation,iso_code3,Code,Year,nemomod_entc_residual_capacity_pp_hydropower_gw
argentina,ARG,32,2022,10.152830000000002
argentina,ARG,32,2023,10.152830000000002
argentina,ARG,32,2024,10.152830000000002
argentina,ARG,32,2025,10.152830000000002
argentina,ARG,32,2026,10.152830000000002
argentina,ARG,32,2027,10.152830000000002
argentina,ARG,32,2028,10.152830000000002
argentina,ARG,32,2029,10.152830000000002
argentina,ARG,32,2030,10.152830000000002
argentina,ARG,32,2031,10.152830000000002
argentina,ARG,32,2032,10.152830000000002
argentina,ARG,32,2033,10.152830000000002
argentina,ARG,32,2034,10.152830000000002
argentina,ARG,32,2035,10.152830000000002
argentina,ARG,32,2036,10.152830000000002
argentina,ARG,32,2037,10.152830000000002
argentina,ARG,32,2038,10.152830000000002
argentina,ARG,32,2039,10.152830000000002
argentina,ARG,32,2040,10.152830000000002
argentina,ARG,32,2041,10.152830000000002
argentina,ARG,32,2042,10.152830000000002
argentina,ARG,32,2043,10.152830000000002
argentina,ARG,32,2044,10.152830000000002
argentina,ARG,32,2045,10.152830000000002
argentina,ARG,32,2046,10.152830000000002
argentina,ARG,32,2047,10.152830000000002
argentina,ARG,32,2048,10.152830000000002
argentina,ARG,32,2049,10.152830000000002
argentina,ARG,32,2050,10.152830000000002
bahamas,BHS,44,2022,0.0
bahamas,BHS,44,2023,0.0
bahamas,BHS,44,2024,0.0
bahamas,BHS,44,2025,0.0
bahamas,BHS,44,2026,0.0
bahamas,BHS,44,2027,0.0
bahamas,BHS,44,2028,0.0
bahamas,BHS,44,2029,0.0
bahamas,BHS,44,2030,0.0
bahamas,BHS,44,2031,0.0
bahamas,BHS,44,2032,0.0
bahamas,BHS,44,2033,0.0
bahamas,BHS,44,2034,0.0
bahamas,BHS,44,2035,0.0
bahamas,BHS,44,2036,0.0
bahamas,BHS,44,2037,0.0
bahamas,BHS,44,2038,0.0
bahamas,BHS,44,2039,0.0
bahamas,BHS,44,2040,0.0
bahamas,BHS,44,2041,0.0
bahamas,BHS,44,2042,0.0
bahamas,BHS,44,2043,0.0
bahamas,BHS,44,2044,0.0
bahamas,BHS,44,2045,0.0
bahamas,BHS,44,2046,0.0
bahamas,BHS,44,2047,0.0
bahamas,BHS,44,2048,0.0
bahamas,BHS,44,2049,0.0
bahamas,BHS,44,2050,0.0
barbados,BRB,52,2022,0.0
barbados,BRB,52,2023,0.0
barbados,BRB,52,2024,0.0
barbados,BRB,52,2025,0.0
barbados,BRB,52,2026,0.0
barbados,BRB,52,2027,0.0
barbados,BRB,52,2028,0.0
barbados,BRB,52,2029,0.0
barbados,BRB,52,2030,0.0
barbados,BRB,52,2031,0.0
barbados,BRB,52,2032,0.0
barbados,BRB,52,2033,0.0
barbados,BRB,52,2034,0.0
barbados,BRB,52,2035,0.0
barbados,BRB,52,2036,0.0
barbados,BRB,52,2037,0.0
barbados,BRB,52,2038,0.0
barbados,BRB,52,2039,0.0
barbados,BRB,52,2040,0.0
