,Nation,Year,population_urban
12245,argentina,2006,35439468
12259,bahamas,2006,272306
12262,belize,2006,131964
12265,brazil,2006,156447982
12266,barbados,2006,90584
12275,chile,2006,14202580
12281,colombia,2006,33015424
12284,costa_rica,2006,2908607
12295,dominican_republic,2006,6334155
12302,ecuador,2006,8703739
12328,guatemala,2006,6238013
12330,guyana,2006,205854
12333,honduras,2006,3759508
12336,haiti,2006,4074699
12353,jamaica,2006,1459784
12390,mexico,2006,82408288
12411,nicaragua,2006,3094982
12421,panama,2006,2169856
12422,peru,2006,21194850
12431,paraguay,2006,3427297
12447,el_salvador,2006,3780593
12486,uruguay,2006,3111014
12511,argentina,2007,35861117
12525,bahamas,2007,277676
12528,belize,2007,135398
12531,brazil,2007,158660053
12532,barbados,2007,90441
12541,chile,2007,14364744
12547,colombia,2007,33597407
12550,costa_rica,2007,3002809
12561,dominican_republic,2007,6539066
12568,ecuador,2007,8878731
12594,guatemala,2007,6402661
12596,guyana,2007,204109
12599,honduras,2007,3896841
12602,haiti,2007,4232451
12619,jamaica,2007,1472254
12656,mexico,2007,83973950
12677,nicaragua,2007,3148772
12687,panama,2007,2219605
12688,peru,2007,21477301
12697,paraguay,2007,3496244
12713,el_salvador,2007,3832861
12752,uruguay,2007,3124484
12777,argentina,2008,36284567
12791,bahamas,2008,282996
12794,belize,2008,138873
12797,brazil,2008,160823507
12798,barbados,2008,90299
12807,chile,2008,14529331
12813,colombia,2008,34166608
12816,costa_rica,2008,3096961
12827,dominican_republic,2008,6743610
12834,ecuador,2008,9055766
12860,guatemala,2008,6568346
12862,guyana,2008,202424
12865,honduras,2008,4035649
12868,haiti,2008,4394109
12885,jamaica,2008,1484711
12922,mexico,2008,85573769
12943,nicaragua,2008,3203518
12953,panama,2008,2270061
12954,peru,2008,21722216
12963,paraguay,2008,3564369
12979,el_salvador,2008,3904586
13018,uruguay,2008,3139740
13043,argentina,2009,36714243
13057,bahamas,2009,288017
13060,belize,2009,142365
13063,brazil,2009,162949974
13064,barbados,2009,90131
13073,chile,2009,14693850
13079,colombia,2009,34720224
13082,costa_rica,2009,3190511
13093,dominican_republic,2009,6947155
13100,ecuador,2009,9233268
13126,guatemala,2009,6734651
13128,guyana,2009,200904
13131,honduras,2009,4175237
13134,haiti,2009,4558834
13151,jamaica,2009,1497367
13188,mexico,2009,87182004
13209,nicaragua,2009,3258926
13219,panama,2009,2321156
13220,peru,2009,21951814
13229,paraguay,2009,3632858
13245,el_salvador,2009,3976012
13284,uruguay,2009,3155696
13309,argentina,2010,37055901
13323,bahamas,2010,292563
13326,belize,2010,145844
13329,brazil,2010,165055095
13330,barbados,2010,89915
13339,chile,2010,14857028
13345,colombia,2010,35257425
13348,costa_rica,2010,3283622
13359,dominican_republic,2010,7150439
13366,ecuador,2010,9410467
13392,guatemala,2010,6902116
13394,guyana,2010,199603
13397,honduras,2010,4315517
13400,haiti,2010,4726821
13417,jamaica,2010,1510427
13454,mexico,2010,88781437
13475,nicaragua,2010,3314879
13485,panama,2010,2372848
13486,peru,2010,22185855
13495,paraguay,2010,3702637
13511,el_salvador,2010,4047471
13550,uruguay,2010,3171624
13575,argentina,2011,37543829
13589,bahamas,2011,296569
13592,belize,2011,149359
13595,brazil,2011,167158531
13596,barbados,2011,89706
13605,chile,2011,15015966
13611,colombia,2011,35769912
13614,costa_rica,2011,3376037
13625,dominican_republic,2011,7342937
13632,ecuador,2011,9580934
13658,guatemala,2011,7072123
13660,guyana,2011,198535
13663,honduras,2011,4455998
13666,haiti,2011,4897847
13683,jamaica,2011,1524025
13720,mexico,2011,90370887
13741,nicaragua,2011,3371400
13751,panama,2011,2425408
13752,peru,2011,22421439
13761,paraguay,2011,3774039
13777,el_salvador,2011,4119158
13816,uruguay,2011,3187408
13841,argentina,2012,38027773
13855,bahamas,2012,300070
13858,belize,2012,152931
13861,brazil,2012,169240746
13862,barbados,2012,89515
13871,chile,2012,15171199
13877,colombia,2012,36262053
13880,costa_rica,2012,3466590
13891,dominican_republic,2012,7527832
13898,ecuador,2012,9746825
13924,guatemala,2012,7243151
13926,guyana,2012,199422
13929,honduras,2012,4597020
13932,haiti,2012,5071848
13949,jamaica,2012,1538500
13986,mexico,2012,91948802
14007,nicaragua,2012,3428528
14017,panama,2012,2478853
14018,peru,2012,22662394
14027,paraguay,2012,3846933
14043,el_salvador,2012,4191072
14082,uruguay,2012,3201207
14107,argentina,2013,38509756
14121,bahamas,2013,303261
14124,belize,2013,156543
14127,brazil,2013,171300683
14128,barbados,2013,89350
14137,chile,2013,15330440
14143,colombia,2013,36759800
14146,costa_rica,2013,3555160
14157,dominican_republic,2013,7711912
14164,ecuador,2013,9915342
14190,guatemala,2013,7418337
14192,guyana,2013,200450
14195,honduras,2013,4738709
14198,haiti,2013,5248179
14215,jamaica,2013,1553708
14252,mexico,2013,93515785
14273,nicaragua,2013,3486218
14283,panama,2013,2533389
14284,peru,2013,22922694
14293,paraguay,2013,3918989
14309,el_salvador,2013,4263187
14348,uruguay,2013,3214642
14373,argentina,2014,38990109
14387,bahamas,2014,306388
14390,belize,2014,160198
14393,brazil,2014,173346780
14394,barbados,2014,89229
14403,chile,2014,15504112
14409,colombia,2014,37299403
14412,costa_rica,2014,3641667
14423,dominican_republic,2014,7895296
14430,ecuador,2014,10091288
14456,guatemala,2014,7597136
14458,guyana,2014,201636
14461,honduras,2014,4882044
14464,haiti,2014,5426831
14481,jamaica,2014,1569364
14518,mexico,2014,95072133
14539,nicaragua,2014,3544357
14549,panama,2014,2589339
14550,peru,2014,23221642
14559,paraguay,2014,3990996
14575,el_salvador,2014,4335703
14614,uruguay,2014,3228546
