Year,Nation,prodinit_ippu_plastic_tonne
1990,argentina,68714.40677065488
1991,argentina,68714.40677065488
1992,argentina,68714.40677065488
1993,argentina,68714.40677065488
1994,argentina,68714.40677065488
1995,argentina,68714.40677065488
1996,argentina,68714.40677065488
1997,argentina,68714.40677065488
1998,argentina,68714.40677065488
1999,argentina,68714.40677065488
2000,argentina,68714.40677065488
2001,argentina,68714.40677065488
2002,argentina,68714.40677065488
2003,argentina,68714.40677065488
2004,argentina,68714.40677065488
2005,argentina,68714.40677065488
2006,argentina,68714.40677065488
2007,argentina,68714.40677065488
2008,argentina,68714.40677065488
2009,argentina,68714.40677065488
2010,argentina,68714.40677065488
2011,argentina,68714.40677065488
2012,argentina,68714.40677065488
2013,argentina,68714.40677065488
2014,argentina,68714.40677065488
2015,argentina,68714.40677065488
2016,argentina,68714.40677065488
2017,argentina,68714.40677065488
2018,argentina,68714.40677065488
2019,argentina,68714.40677065488
1990,bahamas,26900.300302682557
1991,bahamas,26900.300302682557
1992,bahamas,26900.300302682557
1993,bahamas,26900.300302682557
1994,bahamas,26900.300302682557
1995,bahamas,26900.300302682557
1996,bahamas,26900.300302682557
1997,bahamas,26900.300302682557
1998,bahamas,26900.300302682557
1999,bahamas,26900.300302682557
2000,bahamas,26900.300302682557
2001,bahamas,26900.300302682557
2002,bahamas,26900.300302682557
2003,bahamas,26900.300302682557
2004,bahamas,26900.300302682557
2005,bahamas,26900.300302682557
2006,bahamas,26900.300302682557
2007,bahamas,26900.300302682557
2008,bahamas,26900.300302682557
2009,bahamas,26900.300302682557
2010,bahamas,26900.300302682557
2011,bahamas,26900.300302682557
2012,bahamas,26900.300302682557
2013,bahamas,26900.300302682557
2014,bahamas,26900.300302682557
2015,bahamas,26900.300302682557
2016,bahamas,26900.300302682557
2017,bahamas,26900.300302682557
2018,bahamas,26900.300302682557
2019,bahamas,26900.300302682557
1990,barbados,26900.300302682557
1991,barbados,26900.300302682557
1992,barbados,26900.300302682557
1993,barbados,26900.300302682557
1994,barbados,26900.300302682557
1995,barbados,26900.300302682557
1996,barbados,26900.300302682557
1997,barbados,26900.300302682557
1998,barbados,26900.300302682557
1999,barbados,26900.300302682557
2000,barbados,26900.300302682557
2001,barbados,26900.300302682557
2002,barbados,26900.300302682557
2003,barbados,26900.300302682557
2004,barbados,26900.300302682557
2005,barbados,26900.300302682557
2006,barbados,26900.300302682557
2007,barbados,26900.300302682557
2008,barbados,26900.300302682557
2009,barbados,26900.300302682557
2010,barbados,26900.300302682557
2011,barbados,26900.300302682557
2012,barbados,26900.300302682557
2013,barbados,26900.300302682557
2014,barbados,26900.300302682557
2015,barbados,26900.300302682557
2016,barbados,26900.300302682557
2017,barbados,26900.300302682557
2018,barbados,26900.300302682557
2019,barbados,26900.300302682557
1990,belize,26900.300302682557
1991,belize,26900.300302682557
1992,belize,26900.300302682557
1993,belize,26900.300302682557
1994,belize,26900.300302682557
1995,belize,26900.300302682557
1996,belize,26900.300302682557
1997,belize,26900.300302682557
1998,belize,26900.300302682557
1999,belize,26900.300302682557
2000,belize,26900.300302682557
2001,belize,26900.300302682557
2002,belize,26900.300302682557
2003,belize,26900.300302682557
2004,belize,26900.300302682557
2005,belize,26900.300302682557
2006,belize,26900.300302682557
2007,belize,26900.300302682557
2008,belize,26900.300302682557
2009,belize,26900.300302682557
2010,belize,26900.300302682557
2011,belize,26900.300302682557
2012,belize,26900.300302682557
2013,belize,26900.300302682557
2014,belize,26900.300302682557
2015,belize,26900.300302682557
2016,belize,26900.300302682557
2017,belize,26900.300302682557
2018,belize,26900.300302682557
2019,belize,26900.300302682557
1990,bolivia,543.5295406153068
1991,bolivia,543.5295406153068
1992,bolivia,543.5295406153068
1993,bolivia,543.5295406153068
1994,bolivia,543.5295406153068
1995,bolivia,543.5295406153068
1996,bolivia,543.5295406153068
1997,bolivia,543.5295406153068
1998,bolivia,543.5295406153068
1999,bolivia,543.5295406153068
2000,bolivia,543.5295406153068
2001,bolivia,543.5295406153068
2002,bolivia,543.5295406153068
2003,bolivia,543.5295406153068
2004,bolivia,543.5295406153068
2005,bolivia,543.5295406153068
2006,bolivia,543.5295406153068
2007,bolivia,543.5295406153068
2008,bolivia,543.5295406153068
2009,bolivia,543.5295406153068
2010,bolivia,543.5295406153068
2011,bolivia,543.5295406153068
2012,bolivia,543.5295406153068
2013,bolivia,543.5295406153068
2014,bolivia,543.5295406153068
2015,bolivia,543.5295406153068
2016,bolivia,543.5295406153068
2017,bolivia,543.5295406153068
2018,bolivia,543.5295406153068
2019,bolivia,543.5295406153068
1990,brazil,260766.86654768733
1991,brazil,260766.86654768733
1992,brazil,260766.86654768733
1993,brazil,260766.86654768733
1994,brazil,260766.86654768733
1995,brazil,260766.86654768733
1996,brazil,260766.86654768733
1997,brazil,260766.86654768733
1998,brazil,260766.86654768733
1999,brazil,260766.86654768733
2000,brazil,260766.86654768733
2001,brazil,260766.86654768733
2002,brazil,260766.86654768733
2003,brazil,260766.86654768733
2004,brazil,260766.86654768733
2005,brazil,260766.86654768733
2006,brazil,260766.86654768733
2007,brazil,260766.86654768733
2008,brazil,260766.86654768733
2009,brazil,260766.86654768733
2010,brazil,260766.86654768733
2011,brazil,260766.86654768733
2012,brazil,260766.86654768733
2013,brazil,260766.86654768733
2014,brazil,260766.86654768733
2015,brazil,260766.86654768733
2016,brazil,260766.86654768733
2017,brazil,260766.86654768733
2018,brazil,260766.86654768733
2019,brazil,260766.86654768733
1990,chile,22695.783563645702
1991,chile,22695.783563645702
1992,chile,22695.783563645702
1993,chile,22695.783563645702
1994,chile,22695.783563645702
1995,chile,22695.783563645702
1996,chile,22695.783563645702
1997,chile,22695.783563645702
1998,chile,22695.783563645702
1999,chile,22695.783563645702
2000,chile,22695.783563645702
2001,chile,22695.783563645702
2002,chile,22695.783563645702
2003,chile,22695.783563645702
2004,chile,22695.783563645702
2005,chile,22695.783563645702
2006,chile,22695.783563645702
2007,chile,22695.783563645702
2008,chile,22695.783563645702
